index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
6105095,KNH5022,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,10998,0.0036867205986713994,0.0013870932105450864,1,0.0
6064218,KMZ4691,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,11998,0.004021937965344558,0.0015132040579444034,1,0.0
6054765,KMX7970,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,12998,0.004357155332017717,0.0016393149053437201,1,0.0
6079754,KNC2844,NY,PAS,36,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,13998,0.004692372698690875,0.0017654257527430371,1,1.0
6076804,KNB7531,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,14998,0.005027590065364035,0.0018915366001423539,1,0.0
5906276,KLL4834,NY,PAS,36,1,Staten Island,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,15998,0.005362807432037193,0.002017647447541671,1,0.0
5897141,KLJ8142,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,16998,0.005698024798710352,0.002143758294940988,1,0.0
5924350,KLT6490,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,17998,0.00603324216538351,0.002269869142340305,1,0.0
5916024,KLN8868,NY,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,18998,0.0063684595320566695,0.0023959799897396213,1,1.0
5871133,KLE2960,PA,PAS,36,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,19998,0.006703676898729828,0.0025220908371389383,1,0.0
