summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_precinct,issuer_precinct,issuer_code,violation_time,violation_county,street_name,intersecting_street,date_first_observed,law_section,sub_division,violation_legal_code,vehicle_color,vehicle_year,feet_from_curb,violation_description,lat_long,lat,long,issue_dt
4896341958,LCM8254,NY,PAS,2024-05-02T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0546P,"Brooklyn, New York",EB NEPTUNE AVE @ SHE,EPSHEAD BAY RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.579678,-73.9770453",40.579678,-73.9770453,2024-05-02
4896377850,LCM8254,NY,PAS,2024-05-03T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0243P,"Brooklyn, New York",SB CONEY ISLAND AVE,@ AVE U,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5984524,-73.9613486",40.5984524,-73.9613486,2024-05-03
4896380411,LCM8254,NY,PAS,2024-05-03T00:00:00.000,36,4DSD,AUDI,V,17050,40404,40404,0.00000000,0,0,0,0345P,"Brooklyn, New York",EB AVE X @ E 3RD ST,,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5908581,-73.9674491",40.5908581,-73.9674491,2024-05-03
4896417835,LCM8254,NY,PAS,2024-05-06T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0849P,"Brooklyn, New York",SB OCEAN PKWY @ OCEA,N CT,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5903275,-73.9655995",40.5903275,-73.9655995,2024-05-06
4896472810,LCM8254,NY,PAS,2024-05-07T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0957P,"Brooklyn, New York",NB KNAPP ST @ VOORHI,ES AVE,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5881582,-73.9317239",40.5881582,-73.9317239,2024-05-07
4896472950,LCM8254,NY,PAS,2024-05-07T00:00:00.000,36,4DSD,AUDI,V,17330,40404,40404,0.00000000,0,0,0,1001P,"Brooklyn, New York",NB E 17TH ST @ AVE Y,,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.590299,-73.9528619",40.590299,-73.9528619,2024-05-07
4896534451,LCM8254,NY,PAS,2024-05-06T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0855P,"Brooklyn, New York",EB NEPTUNE AVE @ SHE,EPSHEAD BAY RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.579678,-73.9770453",40.579678,-73.9770453,2024-05-06
4896565940,LCM8254,NY,PAS,2024-05-07T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0910P,"Brooklyn, New York",EB NEPTUNE AVE @ SHE,EPSHEAD BAY RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.579678,-73.9770453",40.579678,-73.9770453,2024-05-07
4896569222,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1224A,"Brooklyn, New York",SB CONEY ISLAND AVE,@ AVE U,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5984524,-73.9613486",40.5984524,-73.9613486,2024-05-08
4896569301,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1227A,"Brooklyn, New York",SB CONEY ISLAND AVE,@ GRAVESEND NECK RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.594738,-73.960777",40.594738,-73.960777,2024-05-08
4896569477,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1231A,"Brooklyn, New York",NB CROPSEY AVE @ BAY,47TH ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5872094,-73.98906079999999",40.5872094,-73.98906079999999,2024-05-08
4896570017,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1247A,"Brooklyn, New York",NB OCEAN PKWY @ AVE,S,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6024733,-73.9664203",40.6024733,-73.9664203,2024-05-08
4896570250,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1254A,"Brooklyn, New York",NB OCEAN PKWY @ AVE,O,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6128775,-73.9683888",40.6128775,-73.9683888,2024-05-08
4896570315,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1256A,"Brooklyn, New York",NB OCEAN PKWY @ AVE,K,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.62182809999999,-73.9697505",40.62182809999999,-73.9697505,2024-05-08
4896570595,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0101A,"Brooklyn, New York",SB OCEAN PKWY @ BAY,PKWY,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6261386,-73.9709161",40.6261386,-73.9709161,2024-05-08
4896632989,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1040P,"Brooklyn, New York",SB CONEY ISLAND AVE,@ AVE U,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5984524,-73.9613486",40.5984524,-73.9613486,2024-05-08
4896633593,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1051P,"Brooklyn, New York",SB CROPSEY AVE @ HAR,T PL,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5806486,-73.9855786",40.5806486,-73.9855786,2024-05-08
4896633684,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1052P,"Brooklyn, New York",EB SURF AVE @ W 12TH,ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5754876,-73.9796205",40.5754876,-73.9796205,2024-05-08
4896670942,LCM8254,NY,PAS,2024-05-05T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1105A,"Brooklyn, New York",NB CONEY ISLAND AVE,@ GRAVESEND NECK RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.594738,-73.960777",40.594738,-73.960777,2024-05-05
4896684060,LCM8254,NY,PAS,2024-05-05T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0406P,"Brooklyn, New York",SB OCEAN PKWY @ OCEA,N CT,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5903275,-73.9655995",40.5903275,-73.9655995,2024-05-05
4896684412,LCM8254,NY,PAS,2024-05-05T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0415P,"Brooklyn, New York",WB ORIENTAL BLVD @ K,ENSINGTON ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5781707,-73.9416802",40.5781707,-73.9416802,2024-05-05
4896688028,LCM8254,NY,PAS,2024-05-05T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0549P,"Brooklyn, New York",SB CONEY ISLAND AVE,@ AVE U,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5984524,-73.9613486",40.5984524,-73.9613486,2024-05-05
4896706638,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1243A,"Brooklyn, New York",EB NEPTUNE AVE @ W 5,TH ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5798815,-73.97181429999999",40.5798815,-73.97181429999999,2024-05-08
4896797668,LCM8254,NY,PAS,2024-05-09T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0814P,"Brooklyn, New York",SB CONEY ISLAND AVE,@ AVE U,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5984524,-73.9613486",40.5984524,-73.9613486,2024-05-09
4896918540,LCM8254,NY,PAS,2024-05-11T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1139P,"Brooklyn, New York",SB CONEY ISLAND AVE,@ AVE U,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5984524,-73.9613486",40.5984524,-73.9613486,2024-05-11
4896980359,LCM8254,NY,PAS,2024-05-12T00:00:00.000,36,4DSD,AUDI,V,0,40404,40404,0.00000000,0,0,0,1202A,"Brooklyn, New York",SB OCEAN AVE @ AVE J,,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6257406,-73.9564674",40.6257406,-73.9564674,2024-05-12
4896981583,LCM8254,NY,PAS,2024-05-12T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1234A,"Brooklyn, New York",EB SURF AVE @ W 12TH,ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5754876,-73.9796205",40.5754876,-73.9796205,2024-05-12
4897040073,LCM8254,NY,PAS,2024-05-12T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0913P,"Brooklyn, New York",EB NEPTUNE AVE @ SHE,EPSHEAD BAY RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.579678,-73.9770453",40.579678,-73.9770453,2024-05-12
4897068009,LCM8254,NY,PAS,2024-05-07T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0400P,"Brooklyn, New York",SB OCEAN PKWY @ OCEA,N CT,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5903275,-73.9655995",40.5903275,-73.9655995,2024-05-07
4897104350,LCM8254,NY,PAS,2024-05-08T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1114P,"Brooklyn, New York",WB ORIENTAL BLVD @ K,ENSINGTON ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5781707,-73.9416802",40.5781707,-73.9416802,2024-05-08
4897316248,LCM8254,NY,PAS,2024-05-12T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1208A,"Brooklyn, New York",SB CONEY ISLAND AVE,@ AVE L,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6199907,-73.9642002",40.6199907,-73.9642002,2024-05-12
4897396979,LCM8254,NY,PAS,2024-05-13T00:00:00.000,36,4DSD,AUDI,V,17410,40404,40404,0.00000000,0,0,0,0820P,"Brooklyn, New York",WB AVE V @ E 21ST ST,,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.597381,-73.9499787",40.597381,-73.9499787,2024-05-13
4897453227,LCM8254,NY,PAS,2024-05-10T00:00:00.000,36,4DSD,AUDI,V,17050,40404,40404,0.00000000,0,0,0,0502P,"Brooklyn, New York",EB AVE X @ E 3RD ST,,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5908581,-73.9674491",40.5908581,-73.9674491,2024-05-10
4897453689,LCM8254,NY,PAS,2024-05-10T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,0518P,"Brooklyn, New York",WB ORIENTAL BLVD @ K,ENSINGTON ST,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5781707,-73.9416802",40.5781707,-73.9416802,2024-05-10
4897519100,LCM8254,NY,PAS,2024-05-11T00:00:00.000,36,4DSD,AUDI,V,0,40404,40404,0.00000000,0,0,0,1145P,"Brooklyn, New York",NB OCEAN AVE @ AVE S,,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6040397,-73.9522307",40.6040397,-73.9522307,2024-05-11
4897519159,LCM8254,NY,PAS,2024-05-11T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1145P,"Brooklyn, New York",NB OCEAN AVE @ QUENT,IN RD,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.60881759999999,-73.9531429",40.60881759999999,-73.9531429,2024-05-11
4897519263,LCM8254,NY,PAS,2024-05-11T00:00:00.000,36,4DSD,AUDI,V,0,40404,40404,0.00000000,0,0,0,1148P,"Brooklyn, New York",NB KINGS HWY @ AVE N,,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.6173686,-73.9436714",40.6173686,-73.9436714,2024-05-11
4897520563,LCM8254,NY,PAS,2024-05-12T00:00:00.000,36,4DSD,AUDI,V,0,0,0,0.00000000,0,0,0,1233A,"Brooklyn, New York",SB W 17TH ST @ MERMA,ID AVE,0,1180,B,T,BK,2023,0,PHTO SCHOOL ZN SPEED VIOLATION,"40.5766244,-73.9847714",40.5766244,-73.9847714,2024-05-12
