index,plate_id,registration_state,plate_type,violation_code,school_zone_violations,school_zone_school_hour_violations,violation_borough,violation_description,manhattan_96_below_fine,all_other_fine,fines,row_num,row_pct,cum_share,school_zone_violations_binned,red_light_violations
3949903,KKP8107,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,64991,0.03074065437469344,0.013629849101095179,1,0.0
3944610,KKM9485,NY,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,65991,0.03121365301103837,0.013839564898440931,1,0.0
3951297,KKR2207,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,66991,0.0316866516473833,0.014049280695786684,1,0.0
3931355,KKG5334,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,67991,0.03215965028372823,0.014258996493132437,1,1.0
3938199,KKL1935,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,68991,0.032632648920073164,0.01446871229047819,1,0.0
3932613,KKG7231,NY,PAS,36,1,1,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,69991,0.033105647556418094,0.014678428087823943,1,0.0
4152581,KNL2793,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,70989,0.033577700195490334,0.014887724453575004,1,0.0
4163171,KNM9672,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,71989,0.034050698831835265,0.015097440250920757,1,0.0
4153973,KNL8433,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,72989,0.0345236974681802,0.01530715604826651,1,0.0
4131288,KNE2948,NY,PAS,36,1,0,Brooklyn,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,73989,0.03499669610452513,0.015516871845612264,1,0.0
4140950,KNG9231,NY,PAS,36,1,0,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,74989,0.03546969474087006,0.015726587642958017,1,0.0
4137906,KNF9727,NY,PAS,36,1,1,Manhattan,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,75989,0.03594269337721499,0.015936303440303768,1,0.0
4197250,KNZ5638,NY,PAS,36,1,1,Queens,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,76989,0.036415692013559924,0.016146019237649523,1,1.0
4204109,KPD3439,PA,PAS,36,1,1,Bronx,PHTO SCHOOL ZN SPEED VIOLATION,50.0,50.0,50.0,77989,0.036888690649904854,0.016355735034995274,1,0.0
